MS4647A
!7/22/2011.3:43:55.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       ,TRACE.1           ,TRACE.2           ,TRACE.3           ,TRACE.4           
!PARAMETER:   ,S11               ,S12               ,S21               ,S22               
!PORT:        ,PORT1             ,PORT2             ,PORT1             ,PORT2             
!GRAPH:       ,LOGMAG.PHASE      ,LOGMAG.PHASE      ,LOGMAG.PHASE      ,LOGMAG.PHASE      
!SMOOTHING:   ,OFF               ,OFF               ,OFF               ,OFF               
!TIMEDOMAIN:  ,OFF               ,OFF               ,OFF               ,OFF               
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT,FREQ1.GHZ,LOGMAG1,PHASE1.DEG,FREQ2.GHZ,LOGMAG2,PHASE2.DEG,FREQ3.GHZ,LOGMAG3,PHASE3.DEG,FREQ4.GHZ,LOGMAG4,PHASE4.DEG
108,13.658500000,-3.347269E+001,-23.0739500,13.658500000,-1.667380E-002,-5.8756620,13.658500000,-1.188055E-002,-5.8685570,13.658500000,-3.800312E+001,-66.2181200
109,13.674000000,-3.372631E+001,-19.5442600,13.674000000,-2.352821E-002,-5.8907630,13.674000000,-1.752699E-002,-5.8470730,13.674000000,-4.034088E+001,-49.4109800
110,13.689500000,-3.380867E+001,-16.9216500,13.689500000,-2.314980E-002,-5.8289640,13.689500000,-1.874248E-002,-5.8108590,13.689500000,-4.184431E+001,-24.3961500
111,13.705000000,-3.385414E+001,-17.3878800,13.705000000,-2.569573E-002,-5.8097250,13.705000000,-1.799588E-002,-5.7726530,13.705000000,-4.146182E+001,5.3333890
112,13.720500000,-3.429776E+001,-20.0245900,13.720500000,-2.486436E-002,-5.7631150,13.720500000,-1.393812E-002,-5.7354920,13.720500000,-3.937825E+001,27.6141400
113,13.736000000,-3.542242E+001,-24.5153600,13.736000000,-1.762055E-002,-5.7042710,13.736000000,-1.269645E-002,-5.7119270,13.736000000,-3.719798E+001,40.5386200
114,13.751500000,-3.737924E+001,-28.7617900,13.751500000,-8.277933E-003,-5.7315310,13.751500000,-3.973242E-003,-5.6802060,13.751500000,-3.539433E+001,49.2914400
115,13.767000000,-4.089709E+001,-25.6673900,13.767000000,-9.863133E-003,-5.7557790,13.767000000,-2.889317E-003,-5.7204660,13.767000000,-3.405519E+001,55.7599600
116,13.782500000,-4.633302E+001,-4.8320750,13.782500000,-8.325136E-003,-5.7655680,13.782500000,-5.092684E-003,-5.7336450,13.782500000,-3.299057E+001,61.8287000
117,13.798000000,-4.651028E+001,49.3055700,13.798000000,-1.927105E-002,-5.7878030,13.798000000,-1.315210E-002,-5.7358160,13.798000000,-3.212038E+001,65.3267700
118,13.813500000,-4.225137E+001,72.8915100,13.813500000,-2.759182E-002,-5.7393940,13.813500000,-1.870660E-002,-5.7211840,13.813500000,-3.151512E+001,68.4646500
119,13.829000000,-3.920328E+001,80.7496800,13.829000000,-2.728495E-002,-5.7334530,13.829000000,-2.364195E-002,-5.7044550,13.829000000,-3.105545E+001,72.2703000
120,13.844500000,-3.760647E+001,82.2043400,13.844500000,-3.709622E-002,-5.6788770,13.844500000,-3.172625E-002,-5.6658230,13.844500000,-3.076245E+001,75.1291700
121,13.860000000,-3.641373E+001,83.7108000,13.860000000,-4.196680E-002,-5.6826230,13.860000000,-3.493528E-002,-5.6464010,13.860000000,-3.043591E+001,78.3279000
122,13.875500000,-3.571513E+001,85.5222100,13.875500000,-4.202744E-002,-5.6741160,13.875500000,-4.193883E-002,-5.6120210,13.875500000,-3.018400E+001,80.8933600
123,13.891000000,-3.510645E+001,89.0613500,13.891000000,-4.909454E-002,-5.6306270,13.891000000,-3.902551E-002,-5.6046130,13.891000000,-2.999645E+001,83.8662300
124,13.906500000,-3.429199E+001,93.2857000,13.906500000,-4.669395E-002,-5.6388090,13.906500000,-3.588994E-002,-5.5994700,13.906500000,-2.987192E+001,87.2846800
125,13.922000000,-3.308471E+001,96.6633200,13.922000000,-3.833079E-002,-5.6338470,13.922000000,-3.618385E-002,-5.5979410,13.922000000,-3.002407E+001,90.8275700
